Age,Chubb 安達,Blue Cross 藍十字,FTLife 富通,Zurich 蘇黎世,YF Life 萬通,Dah Sing 大新,BOC Life 中銀人壽,BOC 中銀,Taiping Life 太平人壽,China Taiping 中國太平,Sun Life 永明,Well Link Life 立橋人壽,MSIG,Liberty 利寶,Manulife 宏利,Asia Insurance 亞洲保險,Bupa 保柏,Bowtie 保泰,Prudential 保誠,Cigna Worldwide 信諾環球,Bolttech 保特,HSBC Life 滙豐,Hong Kong Life 香港人壽,FWD 富衛人壽,China Life 中國人壽,AIA 友邦,Avo 安我,AXA 安盛,ZA Life 眾安人壽
0,"2,394","3,329","1,959.00","2,892","1,674","3,800","3,360","2,793","3,519.92","4,009","1,746.00","2,176.00","3,240","2,825","2,152","2,631","3,396",1656,"3,306.69","3,004","2,177","2,673","2,834.00","2,873","1,950",2208,"2,375","2,546","1,665"
1,"2,157","2,830","1,959.00","2,808","1,674","3,800","3,217","2,793","2,943.23","3,872","1,746.00","2,176.00","3,240","2,825","2,034","2,631","3,396",1596,"3,207.49","3,004","2,177","2,673","2,390.00","2,873","1,950",2208,"2,111","2,546","1,605"
2,"2,157","2,435","1,959.00","2,700","1,674","3,800","3,054","2,050","2,544.23","3,507","1,746.00","2,176.00","3,240","2,825","1,908","2,631","3,396",1464,"3,015.06","3,004","2,177","2,673","2,233.00","2,873","1,950",2208,"2,065","2,546","1,475"
3,"2,157","2,143","1,959.00","2,616","1,674","3,800","2,897","1,712","2,108.08","3,075","1,746.00","2,176.00","3,240","2,825","1,805","2,631","3,396",1356,"2,803.95","3,004","2,177","2,673","2,010.00","2,873","1,950",2208,"2,021","2,546","1,365"
4,"2,157","1,885","1,959.00","2,448","1,674","3,800","2,747","1,618","1,978.85","2,790","1,624.00","2,176.00","3,240","2,825","1,707","2,631","3,396",1236,"2,532.93","3,004","1,525","2,673","1,787.00","1,966","1,950",2208,"1,979","2,546","1,245"
5,"2,157","1,764","1,579.00","2,256","1,674","3,800","2,598","1,450","1,759.15","2,508","1,502.00","1,624.00","3,240","1,598","1,609","2,631","2,404",1176,"2,254.32","2,003","1,525","1,722","1,735.00","1,966","1,950",1708.8,"1,959","1,640","1,185"
6,"1,807","1,697","1,579.00","2,196","1,674","2,800","2,475","1,327","1,597.62","2,216","1,380.00","1,624.00","3,240","1,598","1,515","1,866","2,404",1116,"2,028.87","2,003","1,525","1,722","1,589.00","1,966","1,450",1708.8,"1,464","1,640","1,125"
7,"1,807","1,647","1,579.00","2,136","1,674","2,800","2,475","1,238","1,479.69","2,082","1,258.00","1,624.00","2,916","1,598","1,423","1,866","2,404",1068,"1,846.28","2,003","1,525","1,722","1,485.00","1,966","1,450",1708.8,"1,430","1,640","1,075"
8,"1,807","1,599","1,579.00","2,088","1,674","2,800","2,475","1,195","1,416.69","1,992","1,138.00","1,624.00","2,916","1,598","1,331","1,866","2,404",1032,"1,698.57","2,003","1,525","1,722","1,435.00","1,966","1,450",1708.8,"1,396","1,640","1,040"
9,"1,807","1,569","1,579.00","2,052","1,674","2,800","2,475","1,155","1,358.54","1,898","1,138.00","1,624.00","2,916","1,598","1,236","1,866","2,404",1008,"1,605.34","2,003","1,525","1,722","1,385.00","1,966","1,450",1708.8,"1,382","1,640","1,015"
