Age,Chubb 安達,Blue Cross 藍十字,FTLife 富通,Zurich 蘇黎世,YF Life 萬通,Dah Sing 大新,BOC Life 中銀人壽,BOC Group 中銀集團,Taiping Life 太平人壽,China Taiping 中國太平,Sun Life 永明,Well Link Life 立橋人壽,MSIG,Liberty 利寶,Manulife 宏利,Asia Insurance 亞洲保險,Bupa 保柏,Bowtie 保泰,Prudential 保誠,Cigna Worldwide 信諾環球,Bolttech 保特,HSBC Life 滙豐,Hong Kong Life 香港人壽,FWD 富衛人壽,China Life 中國人壽,AIA 友邦,Avo 安我,AXA 安盛,ZA Life 眾安人壽
0,"3,132","4,746","2,822.00","3,420","1,577","3,800","3,360","3,648","4,597.38","4,311","2,280.00","2,487.00","3,240","2,825","2,073","3,180","3,396",1560,"3,545.55","3,004","2,996","2,974","3,546.00","3,708","2,650",2758.4,"2,720","2,832","1,570"
1,"2,677","4,035","2,822.00","3,288","1,577","3,800","3,227","3,648","3,925.38","4,256","2,280.00","2,487.00","3,240","2,825","1,952","3,180","3,396",1524,"3,474.64","3,004","2,996","2,974","3,051.00","3,708","2,650",2758.4,"2,418","2,832","1,535"
2,"2,677","3,470","2,822.00","3,156","1,577","3,800","3,055","2,765","3,432.69","4,080","2,280.00","2,487.00","3,240","2,825","1,823","3,180","3,396",1464,"3,300.88","3,004","2,996","2,974","2,882.00","3,708","2,650",2758.4,"2,365","2,832","1,475"
3,"2,677","3,054","2,822.00","3,036","1,577","3,800","2,885","2,415","2,975.54","3,545","2,280.00","2,487.00","3,240","2,825","1,714","3,180","3,396",1404,"3,102.79","3,004","2,996","2,974","2,520.00","3,708","2,650",2758.4,"2,315","2,832","1,415"
4,"2,677","2,688","2,822.00","2,736","1,577","3,800","2,702","2,322","2,838.23","3,317","2,091.00","2,487.00","3,240","2,825","1,614","3,180","3,396",1344,"2,835.96","3,004","1,363","2,974","2,278.00","1,652","2,650",2758.4,"2,267","2,832","1,355"
5,"2,677","2,489","1,747.00","2,472","1,577","3,800","2,518","2,117","2,568.46","3,001","1,902.00","1,723.00","3,240","1,598","1,511","3,180","2,404",1296,"2,524.02","2,003","1,363","1,671","2,078.00","1,652","2,650",1568,"2,243","1,591","1,315"
6,"2,069","2,368","1,747.00","2,316","1,577","2,800","2,475","1,955","2,353.62","2,680","1,713.00","1,709.00","3,240","1,598","1,412","1,789","2,404",1236,"2,271.60","2,003","1,363","1,671","1,919.00","1,652","1,450",1568,"1,329","1,591","1,245"
7,"2,069","2,251","1,747.00","2,220","1,577","2,800","2,475","1,832","2,187.23","2,376","1,524.00","1,695.00","2,916","1,598","1,330","1,789","2,404",1128,"2,067.16","2,003","1,363","1,671","1,800.00","1,652","1,450",1568,"1,299","1,591","1,135"
8,"2,069","2,142","1,747.00","2,136","1,577","2,800","2,475","1,745","2,067.69","2,303","1,336.00","1,682.00","2,916","1,598","1,250","1,789","2,404",1068,"1,901.77","2,003","1,363","1,671","1,716.00","1,652","1,450",1568,"1,268","1,591","1,075"
9,"2,069","2,037","1,747.00","2,052","1,577","2,800","2,475","1,618","1,902.92","2,137","1,336.00","1,668.00","2,916","1,598","1,173","1,789","2,404",1032,"1,815.59","2,003","1,363","1,671","1,592.00","1,652","1,450",1568,"1,256","1,591","1,040"
10,"2,069","2,004","1,549.00","1,968","1,577","2,800","2,475","1,532","1,786.62","1,968","1,336.00","1,654.00","2,916","1,444","1,138","1,789","2,404",1020,"1,796.99","2,003","1,363","1,448","1,505.00","1,652","1,450",1568,"1,228","1,379","1,030"
11,"2,069","2,038","1,556.00","1,872","1,577","2,800","2,475","1,477","1,709.08","1,925","1,336.00","1,640.00","2,916","1,448","1,117","1,652","2,404",1020,"1,778.63","2,003","1,363","1,470","1,453.00","1,652","1,450",1568,"1,228","1,400","1,030"
12,"2,069","2,072","1,563.00","1,776","1,577","2,800","2,475","1,452","1,665.46","1,854","1,336.00","1,627.00","2,916","1,451","1,094","1,652","2,404",1020,"1,760.41","2,003","1,363","1,491","1,429.00","1,652","1,450",1568,"1,228","1,420","1,030"
13,"2,069","2,108","1,569.00","1,740","1,577","2,800","2,475","1,442","1,641.23","1,824","1,336.00","1,613.00","2,916","1,455","1,071","1,652","2,404",1032,"1,742.36","2,003","1,363","1,513","1,361.00","1,652","1,450",1568,"1,228","1,441","1,040"
14,"2,069","2,144","1,576.00","1,776","1,577","2,800","2,475","1,455","1,642.85","1,800","1,336.00","1,599.00","2,916","1,460","1,050","1,652","2,404",1032,"1,724.53","2,003","1,363","1,535","1,372.00","1,652","1,450",1568,"1,228","1,462","1,040"
15,"2,069","2,197","1,583.00","1,800","1,577","2,800","2,475","1,485","1,662.23","1,815","1,336.00","1,585.00","2,916","1,463","1,071","1,652","2,404",1056,"1,754.60","2,003","1,400","1,556","1,402.00","1,680","1,450",1568,"1,228","1,482","1,065"
16,"1,986","2,270","1,611.00","1,836","1,577","2,800","2,475","1,532","1,701.00","1,870","1,318.00","1,572.00","2,916","1,504","1,094","1,652","2,404",1080,"1,785.21","2,003","1,471","1,578","1,425.00","1,712","1,450",1702.4,"1,228","1,503","1,090"
17,"2,034","2,343","1,647.00","1,920","1,577","2,800","2,475","1,555","1,712.31","1,949","1,318.00","1,558.00","2,916","1,545","1,117","1,652","2,404",1104,"1,816.29","2,003","1,484","1,600","1,446.00","1,733","1,450",1708.8,"1,228","1,524","1,115"
18,"2,075","2,420","1,689.00","1,968","1,595","2,380","2,475.00","1,592","1,736.54","1,981","1,318.00","1,553.00","4,104","1,586","1,212","1,652","1,783",1104,"1,847.99","2,124","1,492","1,621","1,459.00","1,746","1,404",1734.4,"1,268","1,544","1,115"
19,"2,100","2,499","1,739.00","1,992","1,614","2,424","2,475.00","1,627","1,760.77","2,012","1,318.00","1,553.00","4,104","1,627","1,309","1,710","1,814",1104,"1,880.15","2,124","1,501","1,643","1,494.00","1,757","1,431",1734.4,"1,268","1,565","1,115"
20,"2,133","2,552","1,797.00","2,016","1,633","2,472","2,475.00","1,668","1,789.85","2,042","1,318.00","1,553.00","4,104","1,668","1,410","1,710","1,850",1116,"1,913.32","2,128","1,566","1,664","1,530.00","1,779","1,460",1734.4,"1,268","1,585","1,125"
21,"2,157","2,576","1,838.00","2,040","1,651","2,519","2,504.00","1,705","1,812.46","2,149","1,330.00","1,576.00","4,104","1,703","1,511","1,710","1,887",1152,"1,947.03","2,152","1,574","1,686","1,564.00","1,809","1,486",1792,"1,268","1,606","1,160"
22,"2,191","2,599","1,879.00","2,076","1,672","2,568","2,539.00","1,745","1,838.31","2,210","1,342.00","1,605.00","4,104","1,738","1,599","1,710","1,925",1188,"1,981.29","2,175","1,606","1,708","1,599.00","1,852","1,515",1792,"1,268","1,627","1,195"
23,"2,215","2,624","1,919.00","2,088","1,695","2,642","2,535.00","1,800","1,880.31","2,297","1,354.00","1,637.00","4,104","1,773","1,658","1,710","1,983",1224,"2,016.24","2,235","1,638","1,729","1,651.00","1,895","1,555",1792,"1,268","1,647","1,235"
24,"2,256","2,649","1,959.00","2,100","1,716","2,695","2,529.00","1,857","1,922.31","2,418","1,366.00","1,669.00","4,104","1,808","1,682","1,710","2,022",1260,"2,051.74","2,290","1,693","1,751","1,702.00","1,943","1,597",1824,"1,268","1,668","1,265"
25,"2,297","2,688","1,998.00","2,112","1,737","2,784","2,518.00","1,962","2,012.77","2,454","1,378.00","1,703.00","4,104","1,843","1,699","2,153","2,063",1296,"2,087.93","2,345","1,738","1,773","1,799.00","1,986","1,682",1830.4,"1,522","1,689","1,305"
26,"2,354","2,737","2,044.00","2,136","1,758","2,871","2,560.00","2,065","2,098.38","2,504","1,422.00","1,754.00","4,104","1,889","1,739","2,153","2,104",1344,"2,124.74","2,402","1,782","1,845","1,892.00","2,036","1,762",1862.4,"1,538","1,757","1,355"
27,"2,387","2,788","2,092.00","2,148","1,782","2,959","2,602.00","2,170","2,185.62","2,543","1,469.00","1,807.00","4,104","1,935","1,770","2,153","2,146",1392,"2,162.17","2,461","1,842","1,907","1,987.00","2,083","1,843",1881.6,"1,570","1,816","1,400"
28,"2,420","2,841","2,142.00","2,172","1,807","3,019","2,637.00","2,223","2,217.92","2,585","1,518.00","1,861.00","4,104","1,979","1,795","2,153","2,232",1416,"2,200.23","2,521","1,886","1,982","2,036.00","2,129","1,881",1913.6,"1,586","1,888","1,425"
29,"2,486","2,894","2,195.00","2,196","1,835","3,112","2,675.00","2,273","2,247.00","2,624","1,568.00","1,907.00","4,104","2,025","1,818","2,153","2,321",1440,"2,239.05","2,582","1,949","2,041","2,082.00","2,179","1,915",1945.6,"1,603","1,944","1,450"
30,"2,534","2,964","2,249.00","2,220","1,867","3,208","2,707.00","2,323","2,274.46","2,666","1,620.00","1,956.00","4,104","2,070","1,832","2,153","2,342",1476,"2,314.38","2,645","1,993","2,096","2,127.00","2,235","1,949",1990.4,"1,620","1,996","1,485"
31,"2,592","3,050","2,291.00","2,280","1,922","3,300","2,755.00","2,607","2,526.46","2,754","1,664.00","2,003.00","4,914","2,123","1,860","2,318","2,359",1524,"2,392.35","2,709","2,041","2,146","2,170.00","2,291","1,980",2028.8,"1,674","2,044","1,535"
32,"2,641","3,140","2,329.00","2,328","1,977","3,393","2,862.00","2,657","2,574.92","2,850","1,709.00","2,051.00","4,914","2,176","1,887","2,318","2,503",1584,"2,472.87","2,776","2,087","2,202","2,211.00","2,347","2,010",2060.8,"1,713","2,097","1,595"
33,"2,698","3,231","2,365.00","2,376","2,034","3,499","3,024.00","2,742","2,657.31","2,950","1,755.00","2,083.00","4,914","2,229","1,981","2,318","2,617",1632,"2,556.11","2,843","2,150","2,247","2,282.00","2,404","2,066",2092.8,"1,773","2,140","1,640"
34,"2,781","3,326","2,399.00","2,448","2,081","3,643","3,141.00","2,832","2,744.54","3,051","1,802.00","2,114.00","4,914","2,282","2,024","2,318","2,749",1692,"2,642.21","2,913","2,230","2,309","2,356.00","2,460","2,124",2124.8,"1,838","2,199","1,700"
35,"2,818","3,439","2,429.00","2,508","2,142","3,785","3,254.00","2,918","2,828.54","3,160","1,888.00","2,170.00","4,914","2,335","2,078","2,895","2,934",1752,"2,731.10","2,948","2,289","2,384","2,428.00","2,522","2,181",2176,"1,940","2,270","1,760"
36,"2,855","3,574","2,478.00","2,568","2,161","3,930","3,350.00","3,013","2,920.62","3,269","1,939.00","2,260.00","4,914","2,422","2,136","2,895","3,077",1800,"2,823.09","2,960","2,326","2,470","2,508.00","2,585","2,242",2227.2,"2,002","2,352","1,820"
37,"2,893","3,711","2,532.00","2,628","2,217","4,078","3,446.00","3,112","3,015.92","3,382","1,991.00","2,343.00","4,914","2,508","2,202","2,895","3,223",1848,"2,918.11","2,995","2,400","2,560","2,590.00","2,651","2,306",2291.2,"2,046","2,438","1,870"
38,"2,931","3,855","2,590.00","2,700","2,303","4,215","3,546.00","3,197","3,098.31","3,500","2,045.00","2,466.00","4,914","2,594","2,269","2,895","3,374",1896,"3,016.38","3,067","2,471","2,705","2,659.00","2,733","2,360",2348.8,"2,091","2,576","1,915"
39,"2,968","4,004","2,652.00","2,772","2,404","4,326","3,659.00","3,290","3,188.77","3,614","2,100.00","2,554.00","4,914","2,680","2,339","2,895","3,531",1944,"3,117.90","3,127","2,540","2,823","2,739.00","2,837","2,420",2432,"2,139","2,689","1,965"
40,"3,005","4,185","2,718.00","2,916","2,533","4,445","3,757.00","3,390","3,285.69","3,725","2,157.00","2,661.00","4,914","2,767","2,409","2,895","4,103",2052,"3,253.99","3,293","2,643","2,995","2,824.00","2,949","2,483",2534.4,"2,267","2,852","2,075"
41,"3,136","4,402","2,816.00","2,988","2,696","4,571","3,852.00","3,503","3,395.54","4,047","2,263.00","2,816.00","6,588","2,914","2,490","3,137","4,289",2160,"3,395.97","3,413","2,707","3,133","2,916.00","3,071","2,556",2681.6,"2,353","2,984","2,180"
