Age,Premium,Plan,PlanIndex,Gender
0,2758.4,AIA 自願醫保標準計劃,1,Male
1,2758.4,AIA 自願醫保標準計劃,1,Male
2,2758.4,AIA 自願醫保標準計劃,1,Male
3,2758.4,AIA 自願醫保標準計劃,1,Male
4,2758.4,AIA 自願醫保標準計劃,1,Male
5,1568,AIA 自願醫保標準計劃,1,Male
6,1568,AIA 自願醫保標準計劃,1,Male
7,1568,AIA 自願醫保標準計劃,1,Male
8,1568,AIA 自願醫保標準計劃,1,Male
9,1568,AIA 自願醫保標準計劃,1,Male
10,1568,AIA 自願醫保標準計劃,1,Male
11,1568,AIA 自願醫保標準計劃,1,Male
12,1568,AIA 自願醫保標準計劃,1,Male
13,1568,AIA 自願醫保標準計劃,1,Male
14,1568,AIA 自願醫保標準計劃,1,Male
15,1568,AIA 自願醫保標準計劃,1,Male
16,1702.4,AIA 自願醫保標準計劃,1,Male
17,1708.8,AIA 自願醫保標準計劃,1,Male
18,1734.4,AIA 自願醫保標準計劃,1,Male
19,1734.4,AIA 自願醫保標準計劃,1,Male
20,1734.4,AIA 自願醫保標準計劃,1,Male
21,1792,AIA 自願醫保標準計劃,1,Male
22,1792,AIA 自願醫保標準計劃,1,Male
23,1792,AIA 自願醫保標準計劃,1,Male
24,1824,AIA 自願醫保標準計劃,1,Male
25,1830.4,AIA 自願醫保標準計劃,1,Male
26,1862.4,AIA 自願醫保標準計劃,1,Male
27,1881.6,AIA 自願醫保標準計劃,1,Male
28,1913.6,AIA 自願醫保標準計劃,1,Male
29,1945.6,AIA 自願醫保標準計劃,1,Male
30,1990.4,AIA 自願醫保標準計劃,1,Male
31,2028.8,AIA 自願醫保標準計劃,1,Male
32,2060.8,AIA 自願醫保標準計劃,1,Male
33,2092.8,AIA 自願醫保標準計劃,1,Male
34,2124.8,AIA 自願醫保標準計劃,1,Male
35,2176,AIA 自願醫保標準計劃,1,Male
36,2227.2,AIA 自願醫保標準計劃,1,Male
37,2291.2,AIA 自願醫保標準計劃,1,Male
